  UID   PID  PPID   C STIME   TTY           TIME CMD
  501  1281     1   0 27 825  ??         0:45.52 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension -AppleLanguages ("ko-KR")
  501  1282     1   0 27 825  ??         0:04.48 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.iCloudDriveFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.iCloudDriveFileProvider
    0  1284     1   0 27 825  ??         3:03.19 /usr/libexec/gamepolicyd
  501  1349     1   0 27 825  ??         0:34.43 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
  501  1362     1   0 27 825  ??         0:10.73 /System/Library/CoreServices/diagnostics_agent
  501  1373     1   0 27 825  ??         3:37.55 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  501  1378     1   0 27 825  ??         0:11.06 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
  501  1447     1   0 27 825  ??         1:50.45 /System/Library/PrivateFrameworks/HearingCore.framework/heard
  501  1454     1   0 27 825  ??         6:38.55 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
  501  1455     1   0 27 825  ??         0:04.31 /System/Library/Image Capture/Support/icdd
  501  1460     1   0 27 825  ??         0:25.32 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
  501  1462     1   0 27 825  ??         2:23.77 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
  501  1467     1   0 27 825  ??         4:15.51 /Applications/Rectangle.app/Contents/MacOS/Rectangle
  501  1474     1   0 27 825  ??        67:30.68 /Applications/RunCat.app/Contents/MacOS/RunCat
    0  1592     1   0 27 825  ??         0:00.11 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
  501  1693     1   0 27 825  ??         0:19.27 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
    0  1754     1   0 27 825  ??         0:00.12 /System/Library/CoreServices/CrashReporterSupportHelper server-init
  501  1797     1   0 27 825  ??         3:27.53 /System/Library/CoreServices/Siri.app/Contents/XPCServices/SiriNCService.xpc/Contents/MacOS/SiriNCService
    0  4834     1   0 27 825  ??         0:00.13 /System/Library/CoreServices/sharedfilelistd
  277  4843     1   0 27 825  ??         0:13.85 /usr/sbin/distnoted agent
  501  4987     1   0 10 925  ??         0:00.80 /Applications/MATLAB_R2025a.app/bin/maca64/MathWorksCrashReporter --no-rate-limit --monitor-explicit --sanitize --database=/Users/dabin/Library/Application Support/MathWorks/wQ7pVWMabXDmrBh3YAbd0an9lL4hQ2wFzMvzXWmEDTM/crash_reports --annotation=crash.handler.uuid=dbde4308-bef6-4f11-aa1d-00257a27c229 --annotation=crash.mode=allowCrashHandlerSharing=1;allowNativeArtifacts=0;debug=0;enable=1;explicit=1;hasValidDisplay=1;indirectMemoryLimit=0;sanitize=1;stackLimit=0;test=0 --annotation=format=minidump --handshake-fd=5
  501  7154     1   0 10 925  ??         8:21.20 /Users/dabin/Library/Application Support/MathWorks/ServiceHost/v2025.9.0.2/MathWorksServiceHost.app/Contents/MacOS/MathWorksServiceHost service --realm-id companion@prod@production
  501  7751  7154   0 10 925  ??         3:31.80 /Users/dabin/Library/Application Support/MathWorks/ServiceHost/v2025.9.0.2/MathWorksServiceHost.app/Contents/Helpers/MathWorksServiceHost-Monitor.app/Contents/MacOS/MathWorksServiceHost-Monitor --client-id 7154 --realm-id companion@prod@production --lifetime-token 53 -1
  501 11197     1   0 27 825  ??         1:23.84 /System/Library/Frameworks/CoreSpotlight.framework/spotlightknowledged -x
  501 11210     1   0 27 825  ??         0:43.49 /System/Library/PrivateFrameworks/UniversalAccess.framework/Versions/A/Resources/universalAccessAuthWarn.app/Contents/MacOS/universalAccessAuthWarn launchd -s
  294 11226     1   0 27 825  ??         0:17.51 /usr/libexec/audiomxd
